Time,Pressure
-5.9729700E-01,8.3860497E+02
4.0327800E-01,8.3866943E+02
1.4038530E+00,8.3873390E+02
2.4044270E+00,8.3891617E+02
3.4050030E+00,8.3914787E+02
4.4055800E+00,8.3940903E+02
4.9563990E+00,8.3967537E+02
5.9569730E+00,8.3979805E+02
6.9575470E+00,8.4006790E+02
7.9581240E+00,8.4033485E+02
8.9586980E+00,8.4060013E+02
9.9592740E+00,8.4086411E+02
1.0959854E+01,8.4112595E+02
1.1960433E+01,8.4138458E+02
1.2961005E+01,8.4163628E+02
1.3961586E+01,8.4187996E+02
1.4962157E+01,8.4212669E+02
1.5962731E+01,8.4236885E+02
1.6963307E+01,8.4261322E+02
1.7963883E+01,8.4285591E+02
1.8964458E+01,8.4311211E+02
1.9965036E+01,8.4336128E+02
2.0965617E+01,8.4361961E+02
2.1966191E+01,8.4386551E+02
2.2966765E+01,8.4411041E+02
2.3967343E+01,8.4434906E+02
2.4967917E+01,8.4459343E+02
2.5968494E+01,8.4483673E+02
2.6969074E+01,8.4509682E+02
2.7969645E+01,8.4535995E+02
2.8970221E+01,8.4561745E+02
2.9970796E+01,8.4586708E+02
3.0971371E+01,8.4611412E+02
3.1971950E+01,8.4636398E+02
3.2972529E+01,8.4661980E+02
3.3973105E+01,8.4688133E+02
3.4973679E+01,8.4714897E+02
3.5974254E+01,8.4741493E+02
3.6974834E+01,8.4767365E+02
3.7975839E+01,8.4793015E+02
3.8975986E+01,8.4818733E+02
3.9976559E+01,8.4844070E+02
4.0977134E+01,8.4869637E+02
4.1977716E+01,8.4894806E+02
4.2978289E+01,8.4919662E+02
4.3978868E+01,8.4943672E+02
4.4979442E+01,8.4968712E+02
4.5980019E+01,8.4993721E+02
4.6980593E+01,8.5017792E+02
4.7981167E+01,8.5041870E+02
4.8981745E+01,8.5066162E+02
4.9982322E+01,8.5090065E+02
5.0982898E+01,8.5114571E+02
5.1983474E+01,8.5140266E+02
5.2984049E+01,8.5166100E+02
5.3984626E+01,8.5192047E+02
5.4985202E+01,8.5217552E+02
5.5985781E+01,8.5243202E+02
5.6986436E+01,8.5269051E+02
5.7986933E+01,8.5295456E+02
5.8987507E+01,8.5321754E+02
5.9988085E+01,8.5347870E+02
6.0988660E+01,8.5373192E+02
6.1989239E+01,8.5398064E+02
6.2989812E+01,8.5422798E+02
6.3990388E+01,8.5447906E+02
6.4990966E+01,8.5472229E+02
6.5991539E+01,8.5496292E+02
6.6992116E+01,8.5520477E+02
6.7992694E+01,8.5545517E+02
6.8993275E+01,8.5570053E+02
6.9993848E+01,8.5595818E+02
7.0994423E+01,8.5622223E+02
7.1995000E+01,8.5648140E+02
7.2995578E+01,8.5672989E+02
7.3996152E+01,8.5698059E+02
7.4996725E+01,8.5722672E+02
7.5997741E+01,8.5747696E+02
7.6997881E+01,8.5773109E+02
7.7998455E+01,8.5798454E+02
7.8999029E+01,8.5823532E+02
7.9999608E+01,8.5849388E+02
8.1000183E+01,8.5874977E+02
8.2000758E+01,8.5900978E+02
8.3001334E+01,8.5927071E+02
8.4001914E+01,8.5953529E+02
8.5002488E+01,8.5978996E+02
8.6003065E+01,8.6003815E+02
8.7003876E+01,8.6027695E+02
8.8004216E+01,8.6052544E+02
8.9004793E+01,8.6077255E+02
9.0005369E+01,8.6102562E+02
9.1005945E+01,8.6127777E+02
9.2006529E+01,8.6154091E+02
9.3007099E+01,8.6180061E+02
9.4007675E+01,8.6206497E+02
9.5008250E+01,8.6232330E+02
9.6008825E+01,8.6258362E+02
9.7009403E+01,8.6284218E+02
9.8010293E+01,8.6309807E+02
9.9010553E+01,8.6334686E+02
1.0001113E+02,8.6360458E+02
1.0101171E+02,8.6386505E+02
1.0201228E+02,8.6411354E+02
1.0301286E+02,8.6435226E+02
1.0401344E+02,8.6459412E+02
1.0501401E+02,8.6483910E+02
1.0601459E+02,8.6509125E+02
1.0701517E+02,8.6534172E+02
1.0801574E+02,8.6559914E+02
1.0901671E+02,8.6585815E+02
1.1001689E+02,8.6611290E+02
1.1101747E+02,8.6635887E+02
1.1201805E+02,8.6662148E+02
1.1301862E+02,8.6688644E+02
1.1401920E+02,8.6714249E+02
1.1501978E+02,8.6739487E+02
1.1602035E+02,8.6764587E+02
1.1702093E+02,8.6789978E+02
1.1802150E+02,8.6815887E+02
1.1902208E+02,8.6842728E+02
1.2002285E+02,8.6869713E+02
1.2102323E+02,8.6896217E+02
1.2202381E+02,8.6921677E+02
1.2302439E+02,8.6946487E+02
1.2402496E+02,8.6971481E+02
1.2502553E+02,8.6996414E+02
1.2602611E+02,8.7021011E+02
1.2702669E+02,8.7045853E+02
1.2802726E+02,8.7070732E+02
1.2902784E+02,8.7095810E+02
1.3002842E+02,8.7121521E+02
1.3102899E+02,8.7148506E+02
1.3202957E+02,8.7175270E+02
1.3303015E+02,8.7201935E+02
1.3403072E+02,8.7227554E+02
1.3503130E+02,8.7252937E+02
1.3603187E+02,8.7278214E+02
1.3703245E+02,8.7303856E+02
1.3803303E+02,8.7329659E+02
1.3903360E+02,8.7355804E+02
1.4003418E+02,8.7381699E+02
1.4103475E+02,8.7408142E+02
1.4203533E+02,8.7434647E+02
1.4303591E+02,8.7461021E+02
1.4403648E+02,8.7487000E+02
1.4503706E+02,8.7512955E+02
1.4603763E+02,8.7537918E+02
1.4703821E+02,8.7562500E+02
1.4803879E+02,8.7587502E+02
1.4903936E+02,8.7613129E+02
1.5003995E+02,8.7638504E+02
1.5104052E+02,8.7663696E+02
1.5204109E+02,8.7688484E+02
1.5304167E+02,8.7713371E+02
1.5404224E+02,8.7738785E+02
1.5504282E+02,8.7764732E+02
1.5604386E+02,8.7790710E+02
1.5704397E+02,8.7816994E+02
1.5804455E+02,8.7843132E+02
1.5904512E+02,8.7868607E+02
1.6004570E+02,8.7894325E+02
1.6104628E+02,8.7918839E+02
1.6204685E+02,8.7943398E+02
1.6304743E+02,8.7968376E+02
1.6404801E+02,8.7993515E+02
1.6504858E+02,8.8019341E+02
1.6604916E+02,8.8046265E+02
1.6704974E+02,8.8073929E+02
1.6805031E+02,8.8101227E+02
1.6905088E+02,8.8128037E+02
1.7005146E+02,8.8153435E+02
1.7105204E+02,8.8178963E+02
1.7205261E+02,8.8204147E+02
1.7305319E+02,8.8229485E+02
1.7405376E+02,8.8254913E+02
1.7505434E+02,8.8280258E+02
1.7605492E+02,8.8305740E+02
1.7705550E+02,8.8331856E+02
1.7805607E+02,8.8357750E+02
1.7905665E+02,8.8383636E+02
1.8005723E+02,8.8409988E+02
1.8105780E+02,8.8436188E+02
1.8205838E+02,8.8461548E+02
1.8305895E+02,8.8487045E+02
1.8405953E+02,8.8513123E+02
1.8506011E+02,8.8539307E+02
1.8606068E+02,8.8565788E+02
1.8706126E+02,8.8591553E+02
1.8806184E+02,8.8616966E+02
1.8906241E+02,8.8643036E+02
1.9006299E+02,8.8668724E+02
1.9106356E+02,8.8694931E+02
1.9206434E+02,8.8721733E+02
1.9306472E+02,8.8748940E+02
1.9406530E+02,8.8774872E+02
1.9506587E+02,8.8800713E+02
1.9606645E+02,8.8825386E+02
1.9706702E+02,8.8849976E+02
1.9806760E+02,8.8874443E+02
1.9906817E+02,8.8899078E+02
2.0006875E+02,8.8923767E+02
2.0106933E+02,8.8949280E+02
2.0206990E+02,8.8975334E+02
2.0307048E+02,8.9001854E+02
2.0407105E+02,8.9029243E+02
2.0507163E+02,8.9056297E+02
2.0607221E+02,8.9082870E+02
2.0707278E+02,8.9108978E+02
2.0807336E+02,8.9134499E+02
2.0907394E+02,8.9159325E+02
2.1007451E+02,8.9184311E+02
2.1107509E+02,8.9209412E+02
2.1207566E+02,8.9234528E+02
2.1307624E+02,8.9260109E+02
2.1407682E+02,8.9286201E+02
2.1507739E+02,8.9312088E+02
2.1607797E+02,8.9338173E+02
2.1707883E+02,8.9364258E+02
2.1807912E+02,8.9390228E+02
2.1907970E+02,8.9414871E+02
2.2008027E+02,8.9440430E+02
2.2108085E+02,8.9466415E+02
2.2208143E+02,8.9492699E+02
2.2308200E+02,8.9519005E+02
2.2408258E+02,8.9545387E+02
2.2508316E+02,8.9571541E+02
2.2608373E+02,8.9597725E+02
2.2708430E+02,8.9624214E+02
2.2808489E+02,8.9649948E+02
2.2908546E+02,8.9675880E+02
2.3008604E+02,8.9701622E+02
2.3108661E+02,8.9726891E+02
2.3208719E+02,8.9751251E+02
2.3308777E+02,8.9776192E+02
2.3408834E+02,8.9801979E+02
2.3508892E+02,8.9828156E+02
2.3608949E+02,8.9854401E+02
2.3709007E+02,8.9880486E+02
2.3809065E+02,8.9907494E+02
2.3909122E+02,8.9934036E+02
2.4009180E+02,8.9960709E+02
2.4109237E+02,8.9987305E+02
2.4209305E+02,9.0014740E+02
2.4309353E+02,9.0040108E+02
2.4409410E+02,9.0065216E+02
2.4509468E+02,9.0090729E+02
2.4609526E+02,9.0115616E+02
2.4709583E+02,9.0137817E+02
2.4809641E+02,9.0160530E+02
2.4909698E+02,9.0184380E+02
2.5009756E+02,9.0208282E+02
2.5109814E+02,9.0232529E+02
2.5209871E+02,9.0260262E+02
2.5309963E+02,9.0289467E+02
2.5409987E+02,9.0318054E+02
2.5510044E+02,9.0345734E+02
2.5610102E+02,9.0372810E+02
2.5710160E+02,9.0399239E+02
2.5810217E+02,9.0424942E+02
2.5910275E+02,9.0450516E+02
2.6010333E+02,9.0476715E+02
2.6110390E+02,9.0503296E+02
2.6210448E+02,9.0530327E+02
2.6310505E+02,9.0556854E+02
2.6410563E+02,9.0583183E+02
2.6510621E+02,9.0610176E+02
2.6610678E+02,9.0636665E+02
2.6710736E+02,9.0662674E+02
